# Residuals  
# Time       	p            	Ux           	Uy           
1            	1.000000e+00	1.000000e+00	1.000000e+00
2            	3.457400e-01	2.995250e-01	3.229030e-01
3            	4.811130e-01	3.379750e-02	4.988790e-02
4            	3.528640e-01	2.637050e-02	2.353010e-02
5            	2.943000e-01	1.375250e-02	2.199670e-02
6            	2.264090e-01	1.036030e-02	2.025090e-02
7            	1.767200e-01	8.475400e-03	1.896590e-02
8            	1.310000e-01	7.830030e-03	1.813650e-02
9            	1.081560e-01	7.914180e-03	1.752920e-02
10           	9.314490e-02	7.524090e-03	1.708200e-02
11           	7.631580e-02	7.192420e-03	1.660180e-02
12           	7.469480e-02	6.995940e-03	1.615020e-02
13           	7.270060e-02	6.855410e-03	1.574410e-02
14           	7.190340e-02	6.745310e-03	1.538700e-02
15           	7.434580e-02	6.608870e-03	1.509840e-02
16           	6.994490e-02	6.481470e-03	1.480980e-02
17           	6.990590e-02	6.331520e-03	1.454970e-02
18           	6.963540e-02	6.157880e-03	1.429570e-02
19           	6.769240e-02	5.938110e-03	1.403230e-02
20           	6.947680e-02	5.801230e-03	1.382660e-02
21           	6.383720e-02	5.655740e-03	1.363070e-02
22           	6.263320e-02	5.508770e-03	1.339930e-02
23           	6.486880e-02	5.385370e-03	1.320940e-02
24           	6.162280e-02	5.277730e-03	1.304820e-02
25           	6.003620e-02	5.195350e-03	1.286530e-02
26           	6.185840e-02	5.077990e-03	1.268460e-02
27           	5.935500e-02	4.988140e-03	1.254200e-02
28           	5.865420e-02	4.969570e-03	1.239970e-02
29           	6.050140e-02	4.857810e-03	1.221540e-02
30           	5.825900e-02	4.790140e-03	1.209130e-02
31           	5.765000e-02	4.744570e-03	1.194670e-02
32           	5.718800e-02	4.694260e-03	1.178340e-02
33           	5.920130e-02	4.648060e-03	1.163840e-02
34           	5.794010e-02	4.594130e-03	1.148600e-02
35           	5.555470e-02	4.537270e-03	1.131990e-02
36           	5.968390e-02	4.468560e-03	1.115240e-02
37           	5.805700e-02	4.451980e-03	1.101540e-02
38           	5.573170e-02	4.381750e-03	1.082480e-02
39           	5.537340e-02	4.377330e-03	1.068310e-02
40           	5.796480e-02	4.328580e-03	1.048150e-02
41           	5.445560e-02	4.348490e-03	1.035850e-02
42           	5.676900e-02	4.312070e-03	1.016240e-02
43           	5.527340e-02	4.354450e-03	1.003670e-02
44           	5.674470e-02	4.318440e-03	9.861120e-03
45           	5.423880e-02	4.371660e-03	9.747180e-03
46           	5.736510e-02	4.341190e-03	9.588750e-03
47           	5.504880e-02	4.400760e-03	9.481330e-03
48           	5.550710e-02	4.379950e-03	9.346700e-03
49           	5.534550e-02	4.449240e-03	9.253730e-03
50           	5.509450e-02	4.429020e-03	9.134900e-03
51           	5.038080e-02	4.506180e-03	9.067170e-03
52           	5.468530e-02	4.485120e-03	8.948990e-03
53           	5.207180e-02	4.566970e-03	8.890290e-03
54           	5.323850e-02	4.554090e-03	8.793600e-03
55           	5.319030e-02	4.618310e-03	8.720510e-03
56           	5.403210e-02	4.606530e-03	8.657230e-03
57           	5.473770e-02	4.672230e-03	8.583220e-03
58           	5.767650e-02	4.651400e-03	8.516250e-03
59           	5.356150e-02	4.705220e-03	8.467850e-03
60           	6.092230e-02	4.683890e-03	8.422660e-03
61           	5.532320e-02	4.700040e-03	8.395590e-03
62           	5.340200e-02	4.733090e-03	8.362540e-03
63           	5.561460e-02	4.702570e-03	8.343990e-03
64           	5.415790e-02	4.703640e-03	8.340100e-03
65           	5.399640e-02	4.735330e-03	8.338560e-03
66           	5.340900e-02	4.711740e-03	8.343480e-03
67           	5.449060e-02	4.720840e-03	8.364600e-03
68           	5.210490e-02	4.743140e-03	8.388730e-03
69           	5.379030e-02	4.761090e-03	8.411580e-03
70           	5.505270e-02	4.796410e-03	8.441650e-03
71           	5.627720e-02	4.825770e-03	8.468610e-03
72           	5.872220e-02	4.862920e-03	8.497230e-03
73           	6.025320e-02	4.894510e-03	8.527930e-03
74           	6.376170e-02	4.927620e-03	8.561240e-03
75           	6.404200e-02	4.964540e-03	8.594710e-03
76           	6.855310e-02	4.994150e-03	8.630070e-03
77           	6.901870e-02	5.029460e-03	8.664210e-03
